Key Type,Key,1.21.8 en_us,1.21.8 zh_cn
block,banner.creeper.red,Red Creeper Charge,红色苦力怕盾徽
block,banner.creeper.white,White Creeper Charge,白色苦力怕盾徽
block,banner.creeper.yellow,Yellow Creeper Charge,黄色苦力怕盾徽
block,banner.cross.black,Black Saltire,黑斜十字
block,banner.cross.blue,Blue Saltire,蓝斜十字
block,banner.cross.brown,Brown Saltire,棕斜十字
block,banner.cross.cyan,Cyan Saltire,青斜十字
block,banner.cross.gray,Gray Saltire,灰斜十字
block,banner.cross.green,Green Saltire,绿斜十字
block,banner.cross.light_blue,Light Blue Saltire,淡蓝斜十字
block,banner.cross.light_gray,Light Gray Saltire,淡灰斜十字
block,banner.cross.lime,Lime Saltire,黄绿斜十字
block,banner.cross.magenta,Magenta Saltire,品红斜十字
block,banner.cross.orange,Orange Saltire,橙斜十字
block,banner.cross.pink,Pink Saltire,粉红斜十字
block,banner.cross.purple,Purple Saltire,紫斜十字
block,banner.cross.red,Red Saltire,红斜十字
block,banner.cross.white,White Saltire,白斜十字
block,banner.cross.yellow,Yellow Saltire,黄斜十字
block,banner.curly_border.black,Black Bordure Indented,黑色波纹边
block,banner.curly_border.blue,Blue Bordure Indented,蓝色波纹边
block,banner.curly_border.brown,Brown Bordure Indented,棕色波纹边
block,banner.curly_border.cyan,Cyan Bordure Indented,青色波纹边
block,banner.curly_border.gray,Gray Bordure Indented,灰色波纹边
block,banner.curly_border.green,Green Bordure Indented,绿色波纹边
block,banner.curly_border.light_blue,Light Blue Bordure Indented,淡蓝色波纹边
block,banner.curly_border.light_gray,Light Gray Bordure Indented,淡灰色波纹边
block,banner.curly_border.lime,Lime Bordure Indented,黄绿色波纹边
block,banner.curly_border.magenta,Magenta Bordure Indented,品红色波纹边
block,banner.curly_border.orange,Orange Bordure Indented,橙色波纹边
block,banner.curly_border.pink,Pink Bordure Indented,粉红色波纹边
block,banner.curly_border.purple,Purple Bordure Indented,紫色波纹边
block,banner.curly_border.red,Red Bordure Indented,红色波纹边
block,banner.curly_border.white,White Bordure Indented,白色波纹边
block,banner.curly_border.yellow,Yellow Bordure Indented,黄色波纹边
block,banner.diagonal_left.black,Black Per Bend Sinister,黑色右上三角
block,banner.diagonal_left.blue,Blue Per Bend Sinister,蓝色右上三角
block,banner.diagonal_left.brown,Brown Per Bend Sinister,棕色右上三角
block,banner.diagonal_left.cyan,Cyan Per Bend Sinister,青色右上三角
block,banner.diagonal_left.gray,Gray Per Bend Sinister,灰色右上三角
block,banner.diagonal_left.green,Green Per Bend Sinister,绿色右上三角
block,banner.diagonal_left.light_blue,Light Blue Per Bend Sinister,淡蓝色右上三角
block,banner.diagonal_left.light_gray,Light Gray Per Bend Sinister,淡灰色右上三角
block,banner.diagonal_left.lime,Lime Per Bend Sinister,黄绿色右上三角
block,banner.diagonal_left.magenta,Magenta Per Bend Sinister,品红色右上三角
block,banner.diagonal_left.orange,Orange Per Bend Sinister,橙色右上三角
block,banner.diagonal_left.pink,Pink Per Bend Sinister,粉红色右上三角
block,banner.diagonal_left.purple,Purple Per Bend Sinister,紫色右上三角
block,banner.diagonal_left.red,Red Per Bend Sinister,红色右上三角
block,banner.diagonal_left.white,White Per Bend Sinister,白色右上三角
block,banner.diagonal_left.yellow,Yellow Per Bend Sinister,黄色右上三角
block,banner.diagonal_right.black,Black Per Bend,黑色左上三角
block,banner.diagonal_right.blue,Blue Per Bend,蓝色左上三角
block,banner.diagonal_right.brown,Brown Per Bend,棕色左上三角
block,banner.diagonal_right.cyan,Cyan Per Bend,青色左上三角
block,banner.diagonal_right.gray,Gray Per Bend,灰色左上三角
block,banner.diagonal_right.green,Green Per Bend,绿色左上三角
block,banner.diagonal_right.light_blue,Light Blue Per Bend,淡蓝色左上三角
block,banner.diagonal_right.light_gray,Light Gray Per Bend,淡灰色左上三角
block,banner.diagonal_right.lime,Lime Per Bend,黄绿色左上三角
block,banner.diagonal_right.magenta,Magenta Per Bend,品红色左上三角
block,banner.diagonal_right.orange,Orange Per Bend,橙色左上三角
block,banner.diagonal_right.pink,Pink Per Bend,粉红色左上三角
block,banner.diagonal_right.purple,Purple Per Bend,紫色左上三角
block,banner.diagonal_right.red,Red Per Bend,红色左上三角
block,banner.diagonal_right.white,White Per Bend,白色左上三角
block,banner.diagonal_right.yellow,Yellow Per Bend,黄色左上三角
block,banner.diagonal_up_left.black,Black Per Bend Inverted,黑色右下三角
block,banner.diagonal_up_left.blue,Blue Per Bend Inverted,蓝色右下三角
block,banner.diagonal_up_left.brown,Brown Per Bend Inverted,棕色右下三角
block,banner.diagonal_up_left.cyan,Cyan Per Bend Inverted,青色右下三角
block,banner.diagonal_up_left.gray,Gray Per Bend Inverted,灰色右下三角
block,banner.diagonal_up_left.green,Green Per Bend Inverted,绿色右下三角
block,banner.diagonal_up_left.light_blue,Light Blue Per Bend Inverted,淡蓝色右下三角
block,banner.diagonal_up_left.light_gray,Light Gray Per Bend Inverted,淡灰色右下三角
block,banner.diagonal_up_left.lime,Lime Per Bend Inverted,黄绿色右下三角
block,banner.diagonal_up_left.magenta,Magenta Per Bend Inverted,品红色右下三角
block,banner.diagonal_up_left.orange,Orange Per Bend Inverted,橙色右下三角
block,banner.diagonal_up_left.pink,Pink Per Bend Inverted,粉红色右下三角
block,banner.diagonal_up_left.purple,Purple Per Bend Inverted,紫色右下三角
block,banner.diagonal_up_left.red,Red Per Bend Inverted,红色右下三角
block,banner.diagonal_up_left.white,White Per Bend Inverted,白色右下三角
block,banner.diagonal_up_left.yellow,Yellow Per Bend Inverted,黄色右下三角
block,banner.diagonal_up_right.black,Black Per Bend Sinister Inverted,黑色左下三角
block,banner.diagonal_up_right.blue,Blue Per Bend Sinister Inverted,蓝色左下三角
block,banner.diagonal_up_right.brown,Brown Per Bend Sinister Inverted,棕色左下三角
block,banner.diagonal_up_right.cyan,Cyan Per Bend Sinister Inverted,青色左下三角
block,banner.diagonal_up_right.gray,Gray Per Bend Sinister Inverted,灰色左下三角
block,banner.diagonal_up_right.green,Green Per Bend Sinister Inverted,绿色左下三角
block,banner.diagonal_up_right.light_blue,Light Blue Per Bend Sinister Inverted,淡蓝色左下三角
block,banner.diagonal_up_right.light_gray,Light Gray Per Bend Sinister Inverted,淡灰色左下三角
block,banner.diagonal_up_right.lime,Lime Per Bend Sinister Inverted,黄绿色左下三角
block,banner.diagonal_up_right.magenta,Magenta Per Bend Sinister Inverted,品红色左下三角
block,banner.diagonal_up_right.orange,Orange Per Bend Sinister Inverted,橙色左下三角
block,banner.diagonal_up_right.pink,Pink Per Bend Sinister Inverted,粉红色左下三角
block,banner.diagonal_up_right.purple,Purple Per Bend Sinister Inverted,紫色左下三角
block,banner.diagonal_up_right.red,Red Per Bend Sinister Inverted,红色左下三角
block,banner.diagonal_up_right.white,White Per Bend Sinister Inverted,白色左下三角
block,banner.diagonal_up_right.yellow,Yellow Per Bend Sinister Inverted,黄色左下三角
block,banner.flow.black,Black Flow,黑色涡流
block,banner.flow.blue,Blue Flow,蓝色涡流
block,banner.flow.brown,Brown Flow,棕色涡流
block,banner.flow.cyan,Cyan Flow,青色涡流
block,banner.flow.gray,Gray Flow,灰色涡流
block,banner.flow.green,Green Flow,绿色涡流
block,banner.flow.light_blue,Light Blue Flow,淡蓝色涡流
block,banner.flow.light_gray,Light Gray Flow,淡灰色涡流
block,banner.flow.lime,Lime Flow,黄绿色涡流
block,banner.flow.magenta,Magenta Flow,品红色涡流
block,banner.flow.orange,Orange Flow,橙色涡流
block,banner.flow.pink,Pink Flow,粉红色涡流
block,banner.flow.purple,Purple Flow,紫色涡流
block,banner.flow.red,Red Flow,红色涡流
block,banner.flow.white,White Flow,白色涡流
block,banner.flow.yellow,Yellow Flow,黄色涡流
block,banner.flower.black,Black Flower Charge,黑色花朵盾徽
block,banner.flower.blue,Blue Flower Charge,蓝色花朵盾徽
block,banner.flower.brown,Brown Flower Charge,棕色花朵盾徽
block,banner.flower.cyan,Cyan Flower Charge,青色花朵盾徽
block,banner.flower.gray,Gray Flower Charge,灰色花朵盾徽
block,banner.flower.green,Green Flower Charge,绿色花朵盾徽
block,banner.flower.light_blue,Light Blue Flower Charge,淡蓝色花朵盾徽
block,banner.flower.light_gray,Light Gray Flower Charge,淡灰色花朵盾徽
block,banner.flower.lime,Lime Flower Charge,黄绿色花朵盾徽
block,banner.flower.magenta,Magenta Flower Charge,品红色花朵盾徽
block,banner.flower.orange,Orange Flower Charge,橙色花朵盾徽
block,banner.flower.pink,Pink Flower Charge,粉红色花朵盾徽
block,banner.flower.purple,Purple Flower Charge,紫色花朵盾徽
block,banner.flower.red,Red Flower Charge,红色花朵盾徽
block,banner.flower.white,White Flower Charge,白色花朵盾徽
block,banner.flower.yellow,Yellow Flower Charge,黄色花朵盾徽
block,banner.globe.black,Black Globe,黑色地球
block,banner.globe.blue,Blue Globe,蓝色地球
block,banner.globe.brown,Brown Globe,棕色地球
block,banner.globe.cyan,Cyan Globe,青色地球
block,banner.globe.gray,Gray Globe,灰色地球
block,banner.globe.green,Green Globe,绿色地球
block,banner.globe.light_blue,Light Blue Globe,淡蓝色地球
block,banner.globe.light_gray,Light Gray Globe,淡灰色地球
block,banner.globe.lime,Lime Globe,黄绿色地球
block,banner.globe.magenta,Magenta Globe,品红色地球
block,banner.globe.orange,Orange Globe,橙色地球
block,banner.globe.pink,Pink Globe,粉红色地球
block,banner.globe.purple,Purple Globe,紫色地球
block,banner.globe.red,Red Globe,红色地球
block,banner.globe.white,White Globe,白色地球
block,banner.globe.yellow,Yellow Globe,黄色地球
block,banner.gradient.black,Black Gradient,黑色自上渐淡
block,banner.gradient.blue,Blue Gradient,蓝色自上渐淡
block,banner.gradient.brown,Brown Gradient,棕色自上渐淡
block,banner.gradient.cyan,Cyan Gradient,青色自上渐淡
block,banner.gradient.gray,Gray Gradient,灰色自上渐淡
block,banner.gradient.green,Green Gradient,绿色自上渐淡
block,banner.gradient.light_blue,Light Blue Gradient,淡蓝色自上渐淡
block,banner.gradient.light_gray,Light Gray Gradient,淡灰色自上渐淡
block,banner.gradient.lime,Lime Gradient,黄绿色自上渐淡
block,banner.gradient.magenta,Magenta Gradient,品红色自上渐淡
block,banner.gradient.orange,Orange Gradient,橙色自上渐淡
block,banner.gradient.pink,Pink Gradient,粉红色自上渐淡
block,banner.gradient.purple,Purple Gradient,紫色自上渐淡
block,banner.gradient.red,Red Gradient,红色自上渐淡
block,banner.gradient.white,White Gradient,白色自上渐淡
block,banner.gradient.yellow,Yellow Gradient,黄色自上渐淡
block,banner.gradient_up.black,Black Base Gradient,黑色自下渐淡
block,banner.gradient_up.blue,Blue Base Gradient,蓝色自下渐淡
block,banner.gradient_up.brown,Brown Base Gradient,棕色自下渐淡
block,banner.gradient_up.cyan,Cyan Base Gradient,青色自下渐淡
block,banner.gradient_up.gray,Gray Base Gradient,灰色自下渐淡
block,banner.gradient_up.green,Green Base Gradient,绿色自下渐淡
block,banner.gradient_up.light_blue,Light Blue Base Gradient,淡蓝色自下渐淡
block,banner.gradient_up.light_gray,Light Gray Base Gradient,淡灰色自下渐淡
block,banner.gradient_up.lime,Lime Base Gradient,黄绿色自下渐淡
block,banner.gradient_up.magenta,Magenta Base Gradient,品红色自下渐淡
block,banner.gradient_up.orange,Orange Base Gradient,橙色自下渐淡
block,banner.gradient_up.pink,Pink Base Gradient,粉红色自下渐淡
block,banner.gradient_up.purple,Purple Base Gradient,紫色自下渐淡
block,banner.gradient_up.red,Red Base Gradient,红色自下渐淡
block,banner.gradient_up.white,White Base Gradient,白色自下渐淡
block,banner.gradient_up.yellow,Yellow Base Gradient,黄色自下渐淡
block,banner.guster.black,Black Guster,黑色旋风
block,banner.guster.blue,Blue Guster,蓝色旋风
block,banner.guster.brown,Brown Guster,棕色旋风
block,banner.guster.cyan,Cyan Guster,青色旋风
block,banner.guster.gray,Gray Guster,灰色旋风
block,banner.guster.green,Green Guster,绿色旋风
block,banner.guster.light_blue,Light Blue Guster,淡蓝色旋风
block,banner.guster.light_gray,Light Gray Guster,淡灰色旋风
block,banner.guster.lime,Lime Guster,黄绿色旋风
block,banner.guster.magenta,Magenta Guster,品红色旋风
block,banner.guster.orange,Orange Guster,橙色旋风
block,banner.guster.pink,Pink Guster,粉红色旋风
block,banner.guster.purple,Purple Guster,紫色旋风
block,banner.guster.red,Red Guster,红色旋风
block,banner.guster.white,White Guster,白色旋风
block,banner.guster.yellow,Yellow Guster,黄色旋风
block,banner.half_horizontal.black,Black Per Fess,黑色上半方形
block,banner.half_horizontal.blue,Blue Per Fess,蓝色上半方形
block,banner.half_horizontal.brown,Brown Per Fess,棕色上半方形
block,banner.half_horizontal.cyan,Cyan Per Fess,青色上半方形
block,banner.half_horizontal.gray,Gray Per Fess,灰色上半方形
block,banner.half_horizontal.green,Green Per Fess,绿色上半方形
block,banner.half_horizontal.light_blue,Light Blue Per Fess,淡蓝色上半方形
block,banner.half_horizontal.light_gray,Light Gray Per Fess,淡灰色上半方形
block,banner.half_horizontal.lime,Lime Per Fess,黄绿色上半方形
block,banner.half_horizontal.magenta,Magenta Per Fess,品红色上半方形
block,banner.half_horizontal.orange,Orange Per Fess,橙色上半方形
block,banner.half_horizontal.pink,Pink Per Fess,粉红色上半方形
block,banner.half_horizontal.purple,Purple Per Fess,紫色上半方形
block,banner.half_horizontal.red,Red Per Fess,红色上半方形
block,banner.half_horizontal.white,White Per Fess,白色上半方形
block,banner.half_horizontal.yellow,Yellow Per Fess,黄色上半方形
block,banner.half_horizontal_bottom.black,Black Per Fess Inverted,黑色下半方形
block,banner.half_horizontal_bottom.blue,Blue Per Fess Inverted,蓝色下半方形
block,banner.half_horizontal_bottom.brown,Brown Per Fess Inverted,棕色下半方形
block,banner.half_horizontal_bottom.cyan,Cyan Per Fess Inverted,青色下半方形
block,banner.half_horizontal_bottom.gray,Gray Per Fess Inverted,灰色下半方形
block,banner.half_horizontal_bottom.green,Green Per Fess Inverted,绿色下半方形
block,banner.half_horizontal_bottom.light_blue,Light Blue Per Fess Inverted,淡蓝色下半方形
block,banner.half_horizontal_bottom.light_gray,Light Gray Per Fess Inverted,淡灰色下半方形
block,banner.half_horizontal_bottom.lime,Lime Per Fess Inverted,黄绿色下半方形
block,banner.half_horizontal_bottom.magenta,Magenta Per Fess Inverted,品红色下半方形
block,banner.half_horizontal_bottom.orange,Orange Per Fess Inverted,橙色下半方形
block,banner.half_horizontal_bottom.pink,Pink Per Fess Inverted,粉红色下半方形
block,banner.half_horizontal_bottom.purple,Purple Per Fess Inverted,紫色下半方形
block,banner.half_horizontal_bottom.red,Red Per Fess Inverted,红色下半方形
block,banner.half_horizontal_bottom.white,White Per Fess Inverted,白色下半方形
block,banner.half_horizontal_bottom.yellow,Yellow Per Fess Inverted,黄色下半方形
block,banner.half_vertical.black,Black Per Pale,黑色右半方形
block,banner.half_vertical.blue,Blue Per Pale,蓝色右半方形
block,banner.half_vertical.brown,Brown Per Pale,棕色右半方形
block,banner.half_vertical.cyan,Cyan Per Pale,青色右半方形
block,banner.half_vertical.gray,Gray Per Pale,灰色右半方形
block,banner.half_vertical.green,Green Per Pale,绿色右半方形
block,banner.half_vertical.light_blue,Light Blue Per Pale,淡蓝色右半方形
block,banner.half_vertical.light_gray,Light Gray Per Pale,淡灰色右半方形
block,banner.half_vertical.lime,Lime Per Pale,黄绿色右半方形
block,banner.half_vertical.magenta,Magenta Per Pale,品红色右半方形
block,banner.half_vertical.orange,Orange Per Pale,橙色右半方形
block,banner.half_vertical.pink,Pink Per Pale,粉红色右半方形
block,banner.half_vertical.purple,Purple Per Pale,紫色右半方形
block,banner.half_vertical.red,Red Per Pale,红色右半方形
block,banner.half_vertical.white,White Per Pale,白色右半方形
block,banner.half_vertical.yellow,Yellow Per Pale,黄色右半方形
block,banner.half_vertical_right.black,Black Per Pale Inverted,黑色左半方形
block,banner.half_vertical_right.blue,Blue Per Pale Inverted,蓝色左半方形
block,banner.half_vertical_right.brown,Brown Per Pale Inverted,棕色左半方形
block,banner.half_vertical_right.cyan,Cyan Per Pale Inverted,青色左半方形
block,banner.half_vertical_right.gray,Gray Per Pale Inverted,灰色左半方形
block,banner.half_vertical_right.green,Green Per Pale Inverted,绿色左半方形
block,banner.half_vertical_right.light_blue,Light Blue Per Pale Inverted,淡蓝色左半方形
block,banner.half_vertical_right.light_gray,Light Gray Per Pale Inverted,淡灰色左半方形
block,banner.half_vertical_right.lime,Lime Per Pale Inverted,黄绿色左半方形
block,banner.half_vertical_right.magenta,Magenta Per Pale Inverted,品红色左半方形
block,banner.half_vertical_right.orange,Orange Per Pale Inverted,橙色左半方形
block,banner.half_vertical_right.pink,Pink Per Pale Inverted,粉红色左半方形
block,banner.half_vertical_right.purple,Purple Per Pale Inverted,紫色左半方形
block,banner.half_vertical_right.red,Red Per Pale Inverted,红色左半方形
block,banner.half_vertical_right.white,White Per Pale Inverted,白色左半方形
block,banner.half_vertical_right.yellow,Yellow Per Pale Inverted,黄色左半方形
block,banner.mojang.black,Black Thing,黑色Mojang徽标
block,banner.mojang.blue,Blue Thing,蓝色Mojang徽标
block,banner.mojang.brown,Brown Thing,棕色Mojang徽标
block,banner.mojang.cyan,Cyan Thing,青色Mojang徽标
block,banner.mojang.gray,Gray Thing,灰色Mojang徽标
block,banner.mojang.green,Green Thing,绿色Mojang徽标
block,banner.mojang.light_blue,Light Blue Thing,淡蓝色Mojang徽标
block,banner.mojang.light_gray,Light Gray Thing,淡灰色Mojang徽标
block,banner.mojang.lime,Lime Thing,黄绿色Mojang徽标
block,banner.mojang.magenta,Magenta Thing,品红色Mojang徽标
block,banner.mojang.orange,Orange Thing,橙色Mojang徽标
block,banner.mojang.pink,Pink Thing,粉红色Mojang徽标
block,banner.mojang.purple,Purple Thing,紫色Mojang徽标
block,banner.mojang.red,Red Thing,红色Mojang徽标
block,banner.mojang.white,White Thing,白色Mojang徽标
block,banner.mojang.yellow,Yellow Thing,黄色Mojang徽标
block,banner.piglin.black,Black Snout,黑色猪鼻
block,banner.piglin.blue,Blue Snout,蓝色猪鼻
block,banner.piglin.brown,Brown Snout,棕色猪鼻
block,banner.piglin.cyan,Cyan Snout,青色猪鼻
block,banner.piglin.gray,Gray Snout,灰色猪鼻
block,banner.piglin.green,Green Snout,绿色猪鼻
block,banner.piglin.light_blue,Light Blue Snout,淡蓝色猪鼻
block,banner.piglin.light_gray,Light Gray Snout,淡灰色猪鼻
block,banner.piglin.lime,Lime Snout,黄绿色猪鼻
block,banner.piglin.magenta,Magenta Snout,品红色猪鼻
block,banner.piglin.orange,Orange Snout,橙色猪鼻
block,banner.piglin.pink,Pink Snout,粉红色猪鼻
block,banner.piglin.purple,Purple Snout,紫色猪鼻
block,banner.piglin.red,Red Snout,红色猪鼻
block,banner.piglin.white,White Snout,白色猪鼻
block,banner.piglin.yellow,Yellow Snout,黄色猪鼻
block,banner.rhombus.black,Black Lozenge,黑色菱形
block,banner.rhombus.blue,Blue Lozenge,蓝色菱形
block,banner.rhombus.brown,Brown Lozenge,棕色菱形
block,banner.rhombus.cyan,Cyan Lozenge,青色菱形
block,banner.rhombus.gray,Gray Lozenge,灰色菱形
block,banner.rhombus.green,Green Lozenge,绿色菱形
block,banner.rhombus.light_blue,Light Blue Lozenge,淡蓝色菱形
block,banner.rhombus.light_gray,Light Gray Lozenge,淡灰色菱形
block,banner.rhombus.lime,Lime Lozenge,黄绿色菱形
block,banner.rhombus.magenta,Magenta Lozenge,品红色菱形
block,banner.rhombus.orange,Orange Lozenge,橙色菱形
block,banner.rhombus.pink,Pink Lozenge,粉红色菱形
block,banner.rhombus.purple,Purple Lozenge,紫色菱形
block,banner.rhombus.red,Red Lozenge,红色菱形
block,banner.rhombus.white,White Lozenge,白色菱形
block,banner.rhombus.yellow,Yellow Lozenge,黄色菱形
block,banner.skull.black,Black Skull Charge,黑色头颅盾徽
block,banner.skull.blue,Blue Skull Charge,蓝色头颅盾徽
block,banner.skull.brown,Brown Skull Charge,棕色头颅盾徽
block,banner.skull.cyan,Cyan Skull Charge,青色头颅盾徽
block,banner.skull.gray,Gray Skull Charge,灰色头颅盾徽
block,banner.skull.green,Green Skull Charge,绿色头颅盾徽
block,banner.skull.light_blue,Light Blue Skull Charge,淡蓝色头颅盾徽
block,banner.skull.light_gray,Light Gray Skull Charge,淡灰色头颅盾徽
block,banner.skull.lime,Lime Skull Charge,黄绿色头颅盾徽
block,banner.skull.magenta,Magenta Skull Charge,品红色头颅盾徽
